Date/Time,Electricity:Facility [J](TimeStep),ElectricityNet:Facility [J](TimeStep),Gas:Facility [J](TimeStep) 
 07/24  02:10:00,2057674.007499002,2057674.007499002,0.0 
 07/24  02:20:00,2057674.007499002,2057674.007499002,0.0 
 07/24  02:30:00,2057674.007499002,2057674.007499002,0.0 
 07/24  02:40:00,2057674.007499002,2057674.007499002,0.0 
 07/24  02:50:00,2057674.007499002,2057674.007499002,0.0 
 07/24  03:00:00,2057674.007499002,2057674.007499002,0.0 
 07/24  03:10:00,2057674.007499002,2057674.007499002,0.0 
 07/24  03:20:00,2057674.007499002,2057674.007499002,0.0 
 07/24  03:30:00,2057674.007499002,2057674.007499002,0.0 
 07/24  03:40:00,2057674.007499002,2057674.007499002,0.0 
 07/24  03:50:00,2057674.007499002,2057674.007499002,0.0 
 07/24  04:00:00,2057674.007499002,2057674.007499002,0.0 
 07/24  04:10:00,2193024.4980795539,2193024.4980795539,0.0 
 07/24  04:20:00,2193024.4980795539,2193024.4980795539,0.0 
 07/24  04:30:00,2193024.4980795539,2193024.4980795539,0.0 
 07/24  04:40:00,2193024.4980795539,2193024.4980795539,0.0 
 07/24  04:50:00,2193024.4980795539,2193024.4980795539,0.0 
 07/24  05:00:00,2193024.4980795539,2193024.4980795539,0.0 
 07/24  05:10:00,5194829.839059841,5194829.839059841,0.0 
 07/24  05:20:00,4955968.180614232,4955968.180614233,0.0 
 07/24  05:30:00,4260005.392365587,4260005.392365587,0.0 
 07/24  05:40:00,4126230.117326814,4126230.117326814,0.0 
 07/24  05:50:00,4050705.259717178,4050705.2597171787,0.0 
 07/24  06:00:00,4013245.924975628,4013245.9249756287,0.0 
 07/24  06:10:00,4331961.666579002,4331961.666579002,0.0 
 07/24  06:20:00,4306043.4970519249,4306043.4970519249,0.0 
 07/24  06:30:00,4283044.359817022,4283044.359817022,0.0 
 07/24  06:40:00,4265744.190628337,4265744.190628337,0.0 
 07/24  06:50:00,4250365.337954991,4250365.337954991,0.0 
 07/24  07:00:00,4236611.923708467,4236611.923708466,0.0 
 07/24  07:10:00,6477413.274301329,6477413.274301328,0.0 
 07/24  07:20:00,6499334.478889275,6499334.4788892739,0.0 
 07/24  07:30:00,6519345.908263676,6519345.908263676,0.0 
 07/24  07:40:00,6527714.120481974,6527714.1204819739,0.0 
 07/24  07:50:00,6553612.162508795,6553612.162508795,0.0 
 07/24  08:00:00,6579777.038653245,6579777.038653245,0.0 
 07/24  08:10:00,6606659.891687511,6606659.89168751,0.0 
 07/24  08:20:00,6636298.827654103,6636298.827654104,0.0 
 07/24  08:30:00,6665361.401781704,6665361.401781705,0.0 
 07/24  08:40:00,6723561.660995662,6723561.660995661,0.0 
 07/24  08:50:00,6782006.502916569,6782006.502916569,0.0 
